Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
58238 2022 3 15 0 8192.0000 20220314231557 2604.0000 -0.1413 0.4865 81.0000 17653.0000 999999.0000 999999.0000 -66.3000 999999.0000 999998.0000 
58238 2022 3 15 0 65536.0000 20220314231557 1193.0000 -0.0305 0.0754 400.0000 7392.0000 320.0000 15.6000 -27.6999 -53.6000 25.9000 
58238 2022 3 15 0 8192.0000 20220314231557 1077.0000 -0.0197 0.0635 445.1000 6635.0000 313.0000 15.0000 -21.8999 -40.3000 18.4000 
58238 2022 3 15 0 8192.0000 20220314231557 1533.0000 -0.0843 0.1185 288.1000 9705.0000 328.0000 23.3000 -46.3999 -75.8000 29.4000 
58238 2022 3 15 0 8192.0000 20220314231557 2060.0000 -0.1380 0.2852 154.8000 13632.0000 274.0000 41.2000 -56.1000 -82.8000 26.7000 
58238 2022 3 15 0 8192.0000 20220314231557 2445.0000 -0.1438 0.4485 98.1000 16476.0000 271.0000 31.1000 -63.1999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1776.0000 -0.1124 0.1688 216.3000 11473.0000 291.0000 37.2000 -56.3999 -82.9999 26.5999 
58238 2022 3 15 0 8192.0000 20220314231557 234.0000 0.0112 -0.0044 862.2000 1368.0000 242.0000 4.8000 15.7000 -16.8999 32.6000 
58238 2022 3 15 0 8192.0000 20220314231557 191.0000 0.0094 -0.0061 889.3000 1111.0000 216.0000 6.1000 13.9000 10.0000 3.9000 
58238 2022 3 15 0 8192.0000 20220314231557 1441.0000 -0.0670 0.1059 314.8000 9072.0000 326.0000 22.3000 -41.1999 -72.0999 30.8999 
58238 2022 3 15 0 8192.0000 20220314231557 1710.0000 -0.1058 0.1462 234.2000 10971.0000 292.0000 27.9000 -54.9999 -81.9999 27.0000 
58238 2022 3 15 0 65536.0000 20220314231557 135.0000 0.0067 -0.0079 925.0000 779.0000 192.0000 7.1000 12.1000 9.9000 2.1999 
58238 2022 3 15 0 8192.0000 20220314231557 1561.0000 -0.0890 0.1217 279.2000 9900.0000 328.0000 22.7000 -47.8999 -76.8999 29.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1658.0000 -0.1014 0.1342 250.4000 10577.0000 302.0000 20.8000 -52.6999 -80.3999 27.6999 
58238 2022 3 15 0 8192.0000 20220314231557 2227.0000 -0.1415 0.3599 126.7000 14869.0000 274.0000 39.3000 -60.4999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 212.0000 0.0102 -0.0054 875.7000 1237.0000 222.0000 5.9000 14.7999 5.4000 9.3999 
58238 2022 3 15 0 131072.0000 20220314231557 0.0000 0.0000 0.0000 1011.0000 36.0000 92.0000 3.5000 11.1000 4.1000 7.0000 
58238 2022 3 15 0 8192.0000 20220314231557 2414.0000 -0.1429 0.4367 102.2000 16247.0000 273.0000 34.4000 -64.3000 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1730.0000 -0.1072 0.1514 228.7000 11123.0000 290.0000 31.7000 -55.8999 -82.6999 26.8000 
58238 2022 3 15 0 8192.0000 20220314231557 1733.0000 -0.1076 0.1531 227.7000 11146.0000 290.0000 32.3000 -56.3999 -82.9999 26.5999 
58238 2022 3 15 0 8192.0000 20220314231557 2626.0000 -0.1413 0.4911 78.7000 17815.0000 999999.0000 999999.0000 -68.1000 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 633.0000 0.0059 0.0203 639.9000 3831.0000 309.0000 7.7000 -1.3999 -38.8000 37.4000 
58238 2022 3 15 0 8192.0000 20220314231557 154.0000 0.0077 -0.0073 912.1000 890.0000 208.0000 6.2000 12.6000 10.6000 2.0000 
58238 2022 3 15 0 8192.0000 20220314231557 143.0000 0.0072 -0.0077 919.7000 824.0000 200.0000 6.6000 12.7999 11.0000 1.7999 
58238 2022 3 15 0 8192.0000 20220314231557 2511.0000 -0.1424 0.4675 90.0000 16964.0000 269.0000 24.7000 -64.3999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1825.0000 -0.1187 0.1875 205.4000 11846.0000 292.0000 39.3000 -54.3000 -81.4999 27.1999 
58238 2022 3 15 0 65536.0000 20220314231557 17.0000 0.0004 -0.0013 1000.0000 127.0000 105.0000 5.8000 10.7000 3.7000 7.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1481.0000 -0.0742 0.1114 302.2000 9343.0000 328.0000 23.4000 -44.1999 -74.3000 30.1000 
58238 2022 3 15 0 8192.0000 20220314231557 1582.0000 -0.0927 0.1246 272.9000 10046.0000 324.0000 21.2000 -49.6000 -78.0999 28.4999 
58238 2022 3 15 0 8192.0000 20220314231557 1894.0000 -0.1280 0.2152 189.6000 12370.0000 287.0000 39.9000 -52.8000 -80.3999 27.5999 
58238 2022 3 15 0 8192.0000 20220314231557 1293.0000 -0.0435 0.0868 363.5000 8070.0000 325.0000 19.9000 -33.4999 -59.3000 25.8000 
58238 2022 3 15 0 8192.0000 20220314231557 1791.0000 -0.1145 0.1758 212.6000 11587.0000 292.0000 38.7000 -57.3000 -83.6999 26.3999 
58238 2022 3 15 0 8192.0000 20220314231557 2334.0000 -0.1413 0.4043 112.1000 15658.0000 270.0000 40.4000 -63.3999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 2347.0000 -0.1413 0.4094 110.3000 15753.0000 270.0000 40.1000 -64.6999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 506.0000 0.0091 0.0123 705.8000 3037.0000 285.0000 7.6000 4.2000 -29.3000 33.5000 
58238 2022 3 15 0 8192.0000 20220314231557 885.0000 -0.0060 0.0391 523.0000 5398.0000 302.0000 12.6000 -11.2000 -49.3000 38.0999 
58238 2022 3 15 0 8192.0000 20220314231557 2483.0000 -0.1433 0.4591 93.6000 16757.0000 270.0000 27.4000 -63.9999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1806.0000 -0.1161 0.1805 209.5000 11701.0000 292.0000 39.5000 -57.6000 -83.8999 26.2999 
58238 2022 3 15 0 65536.0000 20220314231557 1659.0000 -0.1017 0.1347 250.0000 10587.0000 302.0000 20.9000 -52.8999 -80.4999 27.5999 
58238 2022 3 15 0 65536.0000 20220314231557 1846.0000 -0.1220 0.1962 200.0000 12009.0000 292.0000 39.1000 -53.4999 -80.8999 27.4000 
58238 2022 3 15 0 8192.0000 20220314231557 1626.0000 -0.0988 0.1298 259.2000 10353.0000 315.0000 18.8000 -51.6000 -79.5999 27.9999 
58238 2022 3 15 0 8192.0000 20220314231557 1543.0000 -0.0855 0.1193 284.7000 9774.0000 328.0000 23.1000 -47.3999 -76.4999 29.0999 
58238 2022 3 15 0 8192.0000 20220314231557 1698.0000 -0.1049 0.1428 238.0000 10880.0000 293.0000 25.7000 -55.3000 -82.1999 26.8999 
58238 2022 3 15 0 8192.0000 20220314231557 1503.0000 -0.0785 0.1146 295.6000 9495.0000 329.0000 23.8000 -44.9999 -74.8000 29.8000 
58238 2022 3 15 0 65536.0000 20220314231557 941.0000 -0.0087 0.0455 500.0000 5743.0000 296.0000 13.3000 -13.7999 -53.1000 39.3000 
58238 2022 3 15 0 65536.0000 20220314231557 2431.0000 -0.1433 0.4427 100.0000 16369.0000 272.0000 32.7000 -63.3999 999999.0000 999998.0000 
